loc_tut_striker,Pulsa sobre el área derecha para mover al mono Striker.,Pulsa sur l'espace droit pour mot de passe en mono XXXX.,Pulsa sobre a área certa para o transporte de mono Striker.,Tap on right area to move Striker monkey,Tippen Sie auf den rechten Bereich, um den Striker-Affen zu bewegen,點擊右側區域移動Striker猴子,右の領域をタップしてStrikerサルを移動する,
loc_tut_shaker,El mono Shaker hace que llueva fruta. Intenta golpear la fruta antes de que caiga al suelo.,Le singe fait pleuvoir des fruits Shaker. Essayez de frapper le fruit avant qu'il ne touche le sol.,O macaco faz chover Shaker frutas. Tente acertar a fruta antes de atingir o solo.,Shaker monkey make fruit rain. Try to hit the fruit before it falls to the ground.,Shaker Affe machen Fruchtregen. Versuche, die Früchte zu treffen, bevor sie zu Boden fällt.,Collector猴子做水果雨。 試著把水果倒在地上。,Collectorサルは果実の雨を降らせます。 それが地面に落ちる前に果実を打つことを試みなさい。
loc_tut_alarm1,Si alguna fruta cae al suelo cerca de algún animal dormido, el nivel de alarma aumentará.,Si tous les fruits tombe à terre près d'un animal endormi, le niveau d'alarme augmentera.,Se qualquer fruta cai no chão perto de um animal adormecido, o nível de alarme irá aumentar.,If any fruit falls to the ground, close animals will get warned.,Wenn irgendwelche Früchte auf den Boden fallen, werden enge Tiere gewarnt.,如果任何水果落在地上，緊密的動物會被警告。,果物が地面に落ちると、近い動物は警告を受けます。
loc_tut_alarm2,Si la barra de alarma llega al máximo, nuestra misión será abortada.,Si la barre d'alarme atteint le maximum, notre mission sera annulée.,Se a barra de alarme atinge o máximo, nossa missão será abortada.,If alarm bar gets full, our mission will get aborted.,Wenn die Alarmleiste voll wird, wird unsere Mission abgebrochen.,如果報警欄充滿，我們的使命將會中止。,アラームバーがいっぱいになると、私たちの使命は打ち切られます。
loc_tut_run1,Recoge cinco frutas.,Recueillir cinq fruits.,Colete cinco frutas.,Collect five fruits.,Sammle fünf Früchte.,收集五個水果,5つの果物を集める。
loc_tut_sack,Cuando el saco esté lleno, deberás vaciarlo para seguir cogiendo fruta.,Lorsque le sac est plein, vous devez vider de continuer la cueillette des fruits.,Cuando o saco está cheio, você deve esvaziá-la para continuar colhendo frutas.,When the sack is full, empty it for more fruit.,Wenn der Beutel voll ist, entleeren sie mehr Frucht zu bekommen.,當袋子滿了，空了它更多的水果..,袋がいっぱいになったら、それをもっと多くの果物のために空にしてください。
loc_tut_run2,Recoge 5 frutas más.,Recueillir cinq fruits.,Colete cinco frutas.,Collect five more fruits.,Sammle fünf weitere Früchte.,再收集五個水果。,5つの果物をさらに集める。
loc_tut_end,¡Bien hecho!,Bien joué!,Bem feito!,Well done!,Gut gemacht!,做得好！,よくやった！
loc_popup_ad,¿Desearías ver un anuncio a cambio de oro?,Voulez-vous voir une annonce pour l'or?,Você gostaria de ver um anúncio de ouro?,Would you like to watch an advertisment for gold?,Möchten Sie eine Anzeige für Gold sehen?,你想看一個黃金廣告嗎？,あなたは金の広告を見たいですか？
loc_gold_full_ad,Ver el anuncio completo da más oro…,Voir l'annonce complète donne plus d'or ...,Ver anúncio completo dá mais ouro ...,View full advertisement gives more gold...,Vollständige Werbung sehen mehr Gold ...,查看完整的廣告給更多的黃金...,完全な広告を見ると、より多くの金を与える...
